Mês,Variável,Valor,Un
março 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000764919,Número-índice
março 1983,IPCA - Variação mensal,7.34,%
março 1983,IPCA - Variação acumulada em 3 meses,25.78,%
março 1983,IPCA - Variação acumulada em 6 meses,49.12,%
março 1983,IPCA - Variação acumulada no ano,25.78,%
março 1983,IPCA - Variação acumulada em 12 meses,113.63,%
abril 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000815245,Número-índice
abril 1983,IPCA - Variação mensal,6.58,%
abril 1983,IPCA - Variação acumulada em 3 meses,23.40,%
abril 1983,IPCA - Variação acumulada em 6 meses,52.17,%
abril 1983,IPCA - Variação acumulada no ano,34.06,%
abril 1983,IPCA - Variação acumulada em 12 meses,115.03,%
maio 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000868097,Número-índice
maio 1983,IPCA - Variação mensal,6.48,%
maio 1983,IPCA - Variação acumulada em 3 meses,21.82,%
maio 1983,IPCA - Variação acumulada em 6 meses,53.89,%
maio 1983,IPCA - Variação acumulada no ano,42.75,%
maio 1983,IPCA - Variação acumulada em 12 meses,114.67,%
junho 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000000953868,Número-índice
junho 1983,IPCA - Variação mensal,9.88,%
junho 1983,IPCA - Variação acumulada em 3 meses,24.70,%
junho 1983,IPCA - Variação acumulada em 6 meses,56.86,%
junho 1983,IPCA - Variação acumulada no ano,56.86,%
junho 1983,IPCA - Variação acumulada em 12 meses,120.24,%
julho 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001050003,Número-índice
julho 1983,IPCA - Variação mensal,10.08,%
julho 1983,IPCA - Variação acumulada em 3 meses,28.80,%
julho 1983,IPCA - Variação acumulada em 6 meses,58.93,%
julho 1983,IPCA - Variação acumulada no ano,72.66,%
julho 1983,IPCA - Variação acumulada em 12 meses,127.94,%
agosto 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001145671,Número-índice
agosto 1983,IPCA - Variação mensal,9.11,%
agosto 1983,IPCA - Variação acumulada em 3 meses,31.97,%
agosto 1983,IPCA - Variação acumulada em 6 meses,60.78,%
agosto 1983,IPCA - Variação acumulada no ano,88.40,%
agosto 1983,IPCA - Variação acumulada em 12 meses,134.69,%
setembro 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001263682,Número-índice
setembro 1983,IPCA - Variação mensal,10.30,%
setembro 1983,IPCA - Variação acumulada em 3 meses,32.48,%
setembro 1983,IPCA - Variação acumulada em 6 meses,65.20,%
setembro 1983,IPCA - Variação acumulada no ano,107.80,%
setembro 1983,IPCA - Variação acumulada em 12 meses,146.35,%
outubro 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001375727,Número-índice
outubro 1983,IPCA - Variação mensal,8.87,%
outubro 1983,IPCA - Variação acumulada em 3 meses,31.02,%
outubro 1983,IPCA - Variação acumulada em 6 meses,68.75,%
outubro 1983,IPCA - Variação acumulada no ano,126.23,%
outubro 1983,IPCA - Variação acumulada em 12 meses,156.78,%
novembro 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001477314,Número-índice
novembro 1983,IPCA - Variação mensal,7.38,%
novembro 1983,IPCA - Variação acumulada em 3 meses,28.95,%
novembro 1983,IPCA - Variação acumulada em 6 meses,70.18,%
novembro 1983,IPCA - Variação acumulada no ano,142.93,%
novembro 1983,IPCA - Variação acumulada em 12 meses,161.90,%
dezembro 1983,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001605502,Número-índice
dezembro 1983,IPCA - Variação mensal,8.68,%
dezembro 1983,IPCA - Variação acumulada em 3 meses,27.05,%
dezembro 1983,IPCA - Variação acumulada em 6 meses,68.31,%
dezembro 1983,IPCA - Variação acumulada no ano,164.01,%
dezembro 1983,IPCA - Variação acumulada em 12 meses,164.01,%
janeiro 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001760737,Número-índice
janeiro 1984,IPCA - Variação mensal,9.67,%
janeiro 1984,IPCA - Variação acumulada em 3 meses,27.99,%
janeiro 1984,IPCA - Variação acumulada em 6 meses,67.69,%
janeiro 1984,IPCA - Variação acumulada no ano,9.67,%
janeiro 1984,IPCA - Variação acumulada em 12 meses,166.51,%
fevereiro 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000001928020,Número-índice
fevereiro 1984,IPCA - Variação mensal,9.50,%
fevereiro 1984,IPCA - Variação acumulada em 3 meses,30.51,%
fevereiro 1984,IPCA - Variação acumulada em 6 meses,68.29,%
fevereiro 1984,IPCA - Variação acumulada no ano,20.09,%
fevereiro 1984,IPCA - Variação acumulada em 12 meses,170.57,%
março 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000002100357,Número-índice
março 1984,IPCA - Variação mensal,8.94,%
março 1984,IPCA - Variação acumulada em 3 meses,30.82,%
março 1984,IPCA - Variação acumulada em 6 meses,66.21,%
março 1984,IPCA - Variação acumulada no ano,30.82,%
março 1984,IPCA - Variação acumulada em 12 meses,174.59,%
abril 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000002300794,Número-índice
abril 1984,IPCA - Variação mensal,9.54,%
abril 1984,IPCA - Variação acumulada em 3 meses,30.67,%
abril 1984,IPCA - Variação acumulada em 6 meses,67.24,%
abril 1984,IPCA - Variação acumulada no ano,43.31,%
abril 1984,IPCA - Variação acumulada em 12 meses,182.22,%
maio 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000002509021,Número-índice
maio 1984,IPCA - Variação mensal,9.05,%
maio 1984,IPCA - Variação acumulada em 3 meses,30.13,%
maio 1984,IPCA - Variação acumulada em 6 meses,69.84,%
maio 1984,IPCA - Variação acumulada no ano,56.28,%
maio 1984,IPCA - Variação acumulada em 12 meses,189.03,%
junho 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000002761935,Número-índice
junho 1984,IPCA - Variação mensal,10.08,%
junho 1984,IPCA - Variação acumulada em 3 meses,31.50,%
junho 1984,IPCA - Variação acumulada em 6 meses,72.03,%
junho 1984,IPCA - Variação acumulada no ano,72.03,%
junho 1984,IPCA - Variação acumulada em 12 meses,189.55,%
julho 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000003030524,Número-índice
